İl Adı,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
ADANA,24.828445283279663,33.97585260465789,15.138592576364882,11.032371787541546,7.765496290354474,3.6596665944457123,2.032319190861082,1.3812153851128577
ADIYAMAN,35.322227295910785,18.634682593651778,3.217486521303637,9.386503096281409,0.363066555717171,0.6096852743950167,5.513327175095477,0.17556857414544907
AFYONKARAHİSAR,36.71645182470783,19.684149309571296,22.567634616461973,0.22455509273415722,6.718365056623562,2.6562097028703007,3.119303137623903,0.08759618743513879
AKSARAY,35.05997090385837,3.0606935894265748,27.67714253534316,0.30059630724318104,14.970242704982759,1.774964161176729,2.2734181397905275,0.09629149656544973
AMASYA,32.48742496416556,28.88580406226955,20.856442168013615,0.19379883709847784,3.8927751319601813,1.788970013539373,1.909694058297971,0.1514870684753913
ANKARA,30.742798673175997,39.468070897752575,8.468273293235313,2.473954193287383,5.936473454609679,6.090282758059803,3.1355891712167487,1.4645549000020501
ANTALYA,27.18616988408804,37.233186670984594,8.886035168800959,4.912418995392608,7.337941437427106,4.300228151530857,1.228152718441529,2.615680851784435
ARDAHAN,23.02409910444129,22.61002851357955,1.9972987835806162,11.180956533726803,1.915522098495641,0.8401086211407047,1.2623463575855398,0.45270342711450806
ARTVİN,31.51852983260476,29.12749502703626,4.230710222163945,0.5095810903296053,5.261583151860732,1.2526687808113512,2.1365065298941626,1.34263322307814
AYDIN,23.414403109659375,40.187782392680724,15.035925341901264,6.839131164462428,9.580959644128281,3.3641273397321885,0.7686887149079005,0.808982292527836
AĞRI,18.067801677531772,6.530357661781953,1.3337715381384785,46.28354328869032,0.8258290624019158,0.30481175936561034,2.386329626271197,0.0
BALIKESİR,38.32528899110187,39.526688045960384,4.932481980273451,1.8669599155209846,8.494101531955442,3.177505917732384,2.413182140206396,1.2637914772490944
BARTIN,19.00387085288779,26.367670379465558,21.48270392630592,0.16055212810274921,0.8484853987817065,2.244551133622204,1.8280349340444841,0.0
BATMAN,19.785699980703853,5.4439431942704175,0.4785047520744872,70.10079543153365,0.2380247394093889,0.25978007703945677,1.4620479098535808,0.0
BAYBURT,36.27513935310906,1.253574015526157,19.75338091414861,0.20609813049792752,5.766319705604982,1.6615940558566005,2.938075019811774,0.07201120645064388
